ft_print_combn.c: Error!
Error: EMPTY_LINE_FUNCTION  (line:  36, col:   1):	Empty line in function
Error: SPACE_EMPTY_LINE     (line:  36, col:   1):	Space on empty line
Error: SPACE_AFTER_KW       (line:  37, col:   5):	Missing space after keyword
Error: NO_SPC_AFR_PAR       (line:  37, col:   7):	Extra space after parenthesis (brace/bracket)
Error: SPC_BFR_PAR          (line:  37, col:   7):	Missing space before parenthesis (brace/bracket)
Error: SPC_AFTER_OPERATOR   (line:  37, col:  10):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  37, col:  10):	missing space before operator
Error: SPC_AFTER_OPERATOR   (line:  37, col:  17):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  37, col:  17):	missing space before operator
Error: CONSECUTIVE_SPC      (line:  37, col:  21):	Two or more consecutives spaces
Error: WRONG_SCOPE_COMMENT  (line:  37, col:  23):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  37, col:  23):	Comment is invalid in this scope
Error: WRONG_SCOPE_VAR      (line:  39, col:   1):	Variable declared in incorrect scope
Error: SPACE_REPLACE_TAB    (line:  39, col:  12):	Found space when expecting tab
Error: WRONG_SCOPE_COMMENT  (line:  39, col:  21):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  39, col:  21):	Comment is invalid in this scope
Error: SPC_AFTER_OPERATOR   (line:  40, col:  27):	missing space after operator
Error: SPC_AFTER_OPERATOR   (line:  40, col:  29):	missing space after operator
Error: SPC_AFTER_OPERATOR   (line:  40, col:  31):	missing space after operator
Error: CONSECUTIVE_SPC      (line:  40, col:  35):	Two or more consecutives spaces
Error: LINE_TOO_LONG        (line:  40, col:  37):	line too long
Error: WRONG_SCOPE_COMMENT  (line:  40, col:  37):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  40, col:  37):	Comment is invalid in this scope
Error: LINE_TOO_LONG        (line:  40, col: 112):	line too long
Error: CONSECUTIVE_SPC      (line:  42, col:   9):	Two or more consecutives spaces
Error: WRONG_SCOPE_COMMENT  (line:  42, col:  12):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  42, col:  12):	Comment is invalid in this scope
Error: WRONG_SCOPE_VAR      (line:  44, col:   1):	Variable declared in incorrect scope
Error: SPACE_REPLACE_TAB    (line:  44, col:  13):	Found space when expecting tab
Error: SPC_AFTER_PAR        (line:  44, col:  18):	Missing space after parenthesis (brace/bracket)
Error: DECL_ASSIGN_LINE     (line:  44, col:  19):	Declaration and assignation on a single line
Error: SPC_AFTER_OPERATOR   (line:  44, col:  19):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  44, col:  19):	missing space before operator
Error: LINE_TOO_LONG        (line:  44, col:  74):	line too long
Error: WRONG_SCOPE_COMMENT  (line:  44, col:  74):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  44, col:  74):	Comment is invalid in this scope
Error: LINE_TOO_LONG        (line:  44, col:  97):	line too long
Error: WRONG_SCOPE_VAR      (line:  45, col:   1):	Variable declared in incorrect scope
Error: SPACE_REPLACE_TAB    (line:  45, col:  12):	Found space when expecting tab
Error: MISALIGNED_VAR_DECL  (line:  45, col:  13):	Misaligned variable declaration
Error: DECL_ASSIGN_LINE     (line:  45, col:  19):	Declaration and assignation on a single line
Error: SPC_AFTER_OPERATOR   (line:  45, col:  19):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  45, col:  19):	missing space before operator
Error: WRONG_SCOPE_COMMENT  (line:  45, col:  33):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  45, col:  33):	Comment is invalid in this scope
Error: SPC_AFTER_OPERATOR   (line:  46, col:  16):	missing space after operator
Error: SPC_AFTER_OPERATOR   (line:  46, col:  21):	missing space after operator
Error: WRONG_SCOPE_COMMENT  (line:  46, col:  31):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  46, col:  31):	Comment is invalid in this scope
Error: SPACE_EMPTY_LINE     (line:  49, col:   1):	Space on empty line
Error: SPACE_BEFORE_FUNC    (line:  50, col:   4):	space before function name
Error: RETURN_PARENTHESIS   (line:  53, col:  12):	Return value must be in parenthesis
